face_id,i,j,k,curl,mapped_node_mean_curl
152,21,3688,4611,0.0008237435714469003,0.004202275962346056
153,21,4588,4611,0.0019412872980009003,0.00250957362336527
154,22,1448,3387,0.00025430228995539984,0.00034640298722641666
155,22,1448,3460,0.0002562337528528996,0.00043312711456005545
156,22,1939,2270,0.0007955541132707,0.0005802952418412854
157,22,1939,4620,0.0003759313889902,0.0005534621266055278
158,22,2270,3460,0.00018975511937110003,0.0005026290185304741
159,22,3387,4620,0.00021668236157019994,0.00038907177596107773
160,23,1757,3928,0.00036675586528340013,0.002955108139908755
161,23,1757,4674,0.0010193839682716,0.0016279135661747327
162,23,2403,2567,0.00014104399432420006,0.00258679937323384
163,23,2403,2624,0.0073114997623222,0.004984704535500513
164,23,2403,3928,0.0058216705578429005,0.003936609981786131
165,23,2403,4369,0.0033171455362156,0.002774065479893199
166,23,2567,3141,0.00018393449821920007,0.002029944767593799
167,23,2567,4369,0.0013767128878569,0.0018000062614809398
168,23,2567,4674,0.00020615290491540002,0.0016353561896398493
169,23,2624,3928,0.0093557505255657,0.005360455925640546
170,23,3141,4369,0.0028034656755609,0.0022172108742531584
171,23,3928,4369,0.0018893386597493,0.003149816870033231
172,24,281,1049,0.0007703564659559585,0.0007511283905179186
173,24,281,2493,0.00023681376930330725,0.0008191842024864487
174,24,430,1049,0.0002881504237725,0.0008613930952107067
175,24,430,2906,6.223050249830006e-05,0.0007852001481549229
176,24,2493,3108,0.0001605603361773657,0.0006437571092368353
177,24,2906,3108,0.0007547351481891,0.0004995083502125215
178,25,74,1455,0.0026741278973579,0.0014376856671410984
179,25,74,3273,0.0005114067732863998,0.0009746892949544102
180,25,1234,3213,0.0005489829333107,0.001003594555006351
181,25,1234,3273,0.0005350828374965,0.0007587422496549934
182,25,1455,3059,0.004241258899735187,0.001475599347494468
183,25,3059,3213,2.1795997526400258e-05,0.0012574552806591376
184,26,145,311,0.0053048937554773,0.004369277560496477
185,26,145,4145,0.0044207046427204,0.004105777862845539
186,26,229,311,0.0014132306772251975,0.004245521156604621
187,26,229,3398,0.0070286811958379,0.004077446656884511
188,26,2173,3398,0.0014532791760603998,0.004867216262887361
189,26,2173,4145,0.0072788308923083,0.004771791064956533
190,27,2485,2539,1.7562562992299853e-05,0.00053638211842255
191,27,2485,2787,0.0005601104299137001,0.0008524856011864335
192,27,2539,4444,0.00016203621757939987,0.00036674890497443883
193,27,2787,3074,0.00027445622593409973,0.0010239763829773
194,27,3074,3149,0.0011663520980476003,0.0007250786010757055
195,27,3149,4444,0.00035222973625219974,0.0003839546058367277
196,28,1027,4530,0.0008323794137896002,0.0017646943208112391
197,28,1027,4668,0.0042535105079876,0.002380238427026528
198,28,3583,4045,0.006991938538297,0.0023164653090857108
199,28,3583,4607,0.00025362042803310026,0.0017444650891299653
200,28,4045,4530,0.0016578311416180001,0.0019073141551729513
201,28,4607,4668,0.0007875688176065002,0.0019508580414324943
202,29,2027,3393,0.003614029389520098,0.008379494914295389
203,29,2027,3751,0.011373010302093199,0.007673732570248794
204,29,3109,3354,0.0050519148749673,0.00496063063977405
205,29,3109,4327,0.0033551885525853003,0.006048311219289951
206,29,3354,3751,0.0063984488071581,0.005561962358329038
207,29,3393,4327,0.0107289262609492,0.007355405281891533
208,30,96,2880,0.0008567346046569,0.0007907933979595154
209,30,96,3843,0.0005019566243631,0.000928256496120021
210,30,965,2880,3.9983353422699906e-05,0.0009136189591029722
211,30,965,3855,0.0017636984440443002,0.001835016212086411
212,30,3843,4050,0.0012265606188287001,0.0015127231961841053
213,30,3855,4050,0.0047455491765786995,0.0022966573510070387
214,31,82,775,0.0050749656929034,0.0018876554883176418
215,31,82,794,8.477855751959991e-05,0.0017342030074611013
216,31,435,794,0.00032155495615710005,0.0015560118771500203
217,31,435,2208,0.0017101364778119004,0.0012590253228488646
218,31,775,1677,0.0026234827125313997,0.0015228203843571
219,31,1677,2208,0.00013367151363966338,0.0010723813491994038
220,32,1004,1408,0.0021158383408517,0.0011010891345546129
221,32,1004,1708,0.0003970338572323001,0.0011145412703289406
222,32,1004,3050,0.0022591509385643,0.001307959552684642
223,32,1408,1708,0.0006182917233916998,0.001030321564322587
224,32,1408,1779,0.00011318436803400009,0.0010886370136078546
225,32,1708,3050,0.0014275894598505,0.0012371919824526161
226,32,1779,3050,0.0013004652027202,0.001295507431737884
227,32,1779,4038,2.1540156742999887e-05,0.0011573230176169713
228,32,3050,4038,0.0028586733336299994,0.001292425850687405
229,33,372,798,0.0018947754185526004,0.001315039883302378
230,33,372,807,0.0022450349368329002,0.0013569326219643057
231,33,798,3585,0.0013191946803051999,0.0014324077990744484
232,33,807,1184,0.0040530268245314,0.0018703667641141444
233,33,1184,3996,0.0005420703434700002,0.0019107037340944943
234,33,3585,3996,0.0019441484049749996,0.0015146375077167264
235,34,163,1220,0.0037867656905514,0.0030192387553613213
236,34,163,4431,0.005571368780840601,0.0027003579621271167
237,34,703,1220,0.0034317432327722994,0.003250861419120442
238,34,703,3012,0.0015047930979677996,0.003001089358716567
239,34,703,4718,0.0006594201579403994,0.004214497068575823
240,34,1220,3012,0.0014585923491801994,0.002390837606412169
241,34,1220,4431,0.0010754697664966998,0.002321728873581839
