i,j,flux_coexact
68,378,2.16843261238209e-05
68,444,-7.062414693299795e-06
68,488,8.09520458342607e-06
69,353,-5.440821876570112e-06
69,379,7.109997008731232e-06
69,435,1.0492033817762576e-05
69,669,5.304005509825074e-06
69,787,-1.746521445974877e-05
70,120,2.5101096035453982e-08
70,148,-1.5103247560560695e-06
70,402,4.692786235930313e-06
70,476,-4.773606862570128e-06
70,670,-5.503171080896497e-06
71,367,0.0002238526791918
71,529,-0.0003749566679267
71,770,-0.0002065136271275
71,797,0.0001684359999338
72,153,6.294743969019993e-06
72,352,-3.996596614298919e-06
72,411,-1.2827810575317656e-05
72,540,1.0603744653874092e-06
72,742,7.0746943829275345e-06
72,743,2.3945943722816387e-06
73,122,6.585087675368483e-06
73,196,6.444864949135713e-06
73,276,-2.5580966343128817e-07
73,378,-5.016363459813665e-06
73,454,-3.4326697684639807e-06
73,694,-4.325109732795262e-06
74,103,1.7785445931820283e-06
74,426,-8.0876181824258e-07
74,482,6.129783807116049e-07
74,484,-8.90084600559857e-06
74,530,1.280509815123742e-05
74,691,-5.487013301289903e-06
