i,j,flux_coexact
85,249,-1.3860549772777195e-05
85,512,-2.7067644877089205e-05
85,784,-5.51208842565132e-06
85,1022,-8.460608467796422e-06
86,236,6.786560836285438e-05
86,717,1.99901628915967e-06
86,816,-4.426558250646155e-05
86,991,-5.219921998387845e-05
86,1046,-9.606324010348527e-06
87,179,-8.383220246173801e-06
87,367,-2.320699556748348e-05
87,423,0.000179657768189
87,562,-2.4580874943389805e-05
87,617,-3.489483906000634e-05
87,737,-0.0003346694121149
87,912,9.633401727364232e-05
87,971,0.0002169392065254
87,1029,-4.5077120314339955e-05
88,91,-7.293179650008953e-06
88,164,-6.723314192000806e-06
88,306,-1.7294331484870342e-05
88,487,-1.517264795520214e-05
88,533,6.637595943337431e-05
88,670,-1.9892486151292073e-05
89,145,-0.0004684045240383
89,228,-0.0004454970359885
89,348,8.369921268301168e-05
89,386,1.4959337849790994e-05
89,735,0.0004122650192456
89,953,0.0004029779902484
90,118,-1.2419771670128215e-05
90,418,1.3098466323302353e-05
90,459,4.0908553253181385e-06
90,508,3.899423482106601e-06
90,577,7.374532347202421e-06
90,623,-1.60435058078013e-05
91,164,3.889293910166634e-06
91,213,-5.583288165002274e-06
91,533,-2.087436326531414e-05
91,604,6.7393859182635435e-06
91,823,8.535791951877285e-06
92,229,-9.57350658192418e-06
92,383,-2.4922770422777227e-05
92,855,1.801589639273024e-05
92,884,2.1529378174552383e-05
93,196,6.686945538982645e-06
93,476,-1.9334384144586368e-05
93,974,5.932016861967399e-05
93,989,-4.355544424085344e-07
93,1043,-4.623717557166174e-05
94,112,1.2326027266065426e-05
94,288,1.4053018294891646e-05
94,454,-2.370082386111562e-05
94,558,3.077846488888571e-06
95,491,1.1107412120560553e-07
95,669,-8.11240043921937e-06
95,947,-4.810516333665964e-07
95,980,1.7007968998880496e-05
96,216,-4.2631104510044545e-05
96,464,1.0015196169185694e-05
96,540,5.570675540986303e-06
96,680,1.4659664439474669e-05
96,907,1.8162783789226965e-05
96,908,-5.777215428829084e-06
97,294,-3.2297739312657405e-05
97,598,-9.194169222180756e-05
97,631,7.076850527451756e-06
97,899,7.762254467613117e-05
98,126,5.965093645887912e-05
98,354,2.309871664985401e-05
98,448,4.195139839648005e-05
98,618,-0.0001197180037376
98,848,-6.063412541192162e-05
98,1020,5.565107764432279e-05
99,166,7.410694004462179e-06
99,271,-9.199948176854783e-06
99,375,8.872778592959584e-06
99,508,-8.061448812038947e-06
99,583,-2.53657907405967e-06
99,842,3.5145034655316387e-06
100,116,7.90444388136638e-07
100,453,3.478652223905062e-05
100,657,-9.326570987599636e-07
100,776,2.314224897953346e-05
100,1024,-1.531903206954382e-05
101,301,-3.978340236362302e-05
101,469,-3.08551186032189e-05
101,481,5.8846583765927346e-06
101,581,-4.254604132430012e-05
101,767,4.434209674915669e-05
102,209,0.0001891887425603
102,256,-0.0004975678302865
102,393,8.677194093369325e-05
102,410,-0.00017142832178
102,858,0.0003930354685725
103,247,-1.0063204374294562e-05
103,366,-2.0653565096842184e-05
103,485,-1.3087321936426495e-05
103,836,2.303496774583995e-05
103,1018,1.5788921933890238e-06
104,368,7.276898399891145e-06
104,605,-2.6667272948555705e-05
104,690,-1.1304120228582538e-05
105,451,-3.969202699870566e-06
105,503,-2.781815846736616e-05
105,732,1.4092105366412449e-05
105,761,-1.1511015896277328e-05
105,898,1.8197909733708005e-05
105,939,1.1008361963393602e-05
106,240,-5.575446887315237e-06
106,253,2.9484030413244203e-06
106,467,-7.583495889841995e-06
106,472,-4.946082755813144e-07
106,1014,2.41858569173324e-05
107,176,-3.5988369637911488e-06
107,211,-5.39555999400688e-06
107,396,-1.4689736991147315e-05
107,585,0.00010472659597
107,769,-7.652344699435669e-05
107,863,-4.519015026739905e-06
108,128,-1.4365486087986831e-05
