face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
2857,1937,1215,1329,3.4816776187607834e-06,3.6213486149113675e-06,1.2722391224889104e-08,5.80462071017402e-17
2858,1937,202,1581,1.6608563521774055e-06,1.5826686226650689e-06,6.256104612688652e-09,5.942356607985887e-17
2859,202,1937,546,4.411870255492322e-07,5.657713882510087e-07,2.3243987241064212e-08,6.105635297568774e-17
2860,819,1262,26,4.76475318170336e-07,6.31925690161826e-07,4.313195377518641e-08,6.17731258590183e-17
2861,26,1262,1472,4.0259489957023173e-07,4.35787535080914e-07,2.2992062835626875e-09,8.560723411721869e-17
2862,1262,1369,769,4.900973115836866e-06,4.249096178683411e-06,2.691107397400841e-08,5.332761990334643e-17
2863,1262,819,1369,1.9571135227847934e-06,1.9935782118784974e-06,1.4413120460598195e-08,6.2955167753869e-17
2864,1262,195,1472,3.5554637380674166e-07,4.0908047836288913e-07,3.73821587946367e-09,7.107722255780884e-17
2865,1262,769,195,5.854570627543694e-06,5.692900013531102e-06,2.794104823962039e-08,7.074505788887286e-17
2866,884,1803,2019,6.65334571193545e-06,4.504202289760669e-06,2.2479126798382287e-07,8.601988788448063e-17
2867,464,884,2019,4.448991436179954e-07,6.065755601774437e-07,7.171374215530943e-08,7.960399209934747e-17
